status_id,created_at,text,source,is_quote,is_retweet,favorite_count,retweet_count,place_url,place_name,place_full_name,place_type,country,country_code,hashtags
985916173740007425,2018-04-16T16:21:47Z,"#Salmon #fishing #aquaculture 
https://t.co/3Vxeq4l1yq",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,aquaculture
985916001442148353,2018-04-16T16:21:06Z,"RT @wildfishNW: Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles…",TweetDeck,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA
985915991824785408,2018-04-16T16:21:04Z,"New funding opportunity from @NFWFnews:
• Promoting full utilization of domestic fisheries;
• Improving sustainability of U.S. fishing businesses/communities;
• Improvements to recreational fisheries mgmt;
• Implementation of marine #aquaculture.

https://t.co/dzxxQ0jXWS",TweetDeck,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,aquaculture
985915152318042112,2018-04-16T16:17:44Z,"Budding #Barnacle Bonanza. In the search for new seafood, researchers are working on the #gooseneckbarnacle. This crustacean is the subject of ongoing #aquaculture research as scientists push to develop new harvestable species for  #sustainableseafood
https://t.co/KxDcxU8fmW https://t.co/zjaEnnSWbE",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,Barnacle
985915152318042112,2018-04-16T16:17:44Z,"Budding #Barnacle Bonanza. In the search for new seafood, researchers are working on the #gooseneckbarnacle. This crustacean is the subject of ongoing #aquaculture research as scientists push to develop new harvestable species for  #sustainableseafood
https://t.co/KxDcxU8fmW https://t.co/zjaEnnSWbE",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,gooseneckbarnacle
985915152318042112,2018-04-16T16:17:44Z,"Budding #Barnacle Bonanza. In the search for new seafood, researchers are working on the #gooseneckbarnacle. This crustacean is the subject of ongoing #aquaculture research as scientists push to develop new harvestable species for  #sustainableseafood
https://t.co/KxDcxU8fmW https://t.co/zjaEnnSWbE",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,aquaculture
985915152318042112,2018-04-16T16:17:44Z,"Budding #Barnacle Bonanza. In the search for new seafood, researchers are working on the #gooseneckbarnacle. This crustacean is the subject of ongoing #aquaculture research as scientists push to develop new harvestable species for  #sustainableseafood
https://t.co/KxDcxU8fmW https://t.co/zjaEnnSWbE",Twitter Web Client,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,sustainableseafood
985914913125228545,2018-04-16T16:16:47Z,"How has #aquaculture in Zambia changed over the years? How is #WorldFish working to address sustainability concerns? Dr. Mary Lundeba, a scientist and field researcher for @FISH_CGIAR explains: https://t.co/BxU4Syijm4 @thefishsite https://t.co/zqQerE6zU7",TweetDeck,FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,aquaculture
985914913125228545,2018-04-16T16:16:47Z,"How has #aquaculture in Zambia changed over the years? How is #WorldFish working to address sustainability concerns? Dr. Mary Lundeba, a scientist and field researcher for @FISH_CGIAR explains: https://t.co/BxU4Syijm4 @thefishsite https://t.co/zqQerE6zU7",TweetDeck,FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,WorldFish
985914331979231232,2018-04-16T16:14:28Z,"RT @EU2018BG: #EU2018BG hosts at #AGRIFISH a debate on how to ensure fair treatment for farmers by big retailers.

#FairFoodChain #FoodWast…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,EU2018BG
